ensembl_gene_id	hgnc_symbol	logFC	logCPM	F	PValue	FDR
ENSG00000086289	EPDR1	3.208974766	5.266555734	246.1990188	7.11E-08	2.71E-05
ENSG00000087245	MMP2	2.471395408	7.332287019	116.696098	1.78E-06	8.65E-05
ENSG00000090339	ICAM1	6.801353804	3.871595867	127.0736879	1.24E-06	7.63E-05
ENSG00000090447	TFAP4	-2.629592784	3.847000386	108.8421018	2.39E-06	9.96E-05
ENSG00000090539	CHRD	2.394689164	3.716148061	104.9587418	2.79E-06	0.000105963
ENSG00000091409	ITGA6	4.577400152	8.592616516	186.1737238	2.41E-07	4.23E-05
ENSG00000092054	MYH7	8.033924886	8.246696344	98.42982216	3.65E-06	0.000121178
ENSG00000093167	LRRFIP2	1.161230256	5.561662826	96.51430714	3.96E-06	0.000125181
ENSG00000095303	PTGS1	5.012281237	2.21263645	129.2915305	1.15E-06	7.48E-05
ENSG00000099250	NRP1	4.546838078	7.063946398	110.992308	2.20E-06	9.59E-05
ENSG00000099812	MISP	3.819575437	1.088854196	113.5043135	2.00E-06	9.06E-05
ENSG00000100196	KDELR3	3.355523115	5.036429927	92.32452466	4.77E-06	0.000138485
ENSG00000100504	PYGL	3.281659065	5.823652455	517.1576755	2.67E-09	7.32E-06
ENSG00000101000	PROCR	4.44266133	2.721701044	113.560045	2.00E-06	9.06E-05
ENSG00000101098	RIMS4	-3.304680449	6.018466545	191.8190299	2.11E-07	4.04E-05
ENSG00000101608	MYL12A	1.666992604	7.9956091	106.5728566	2.61E-06	0.000103647
ENSG00000101680	LAMA1	-4.806943252	3.979968002	101.3566607	3.23E-06	0.000116809
ENSG00000101782	RIOK3	2.242013213	6.928879247	123.0916758	1.42E-06	7.96E-05
ENSG00000101844	ATG4A	1.905743261	4.944207421	93.11822649	4.60E-06	0.00013586
ENSG00000101868	POLA1	-2.014367824	7.031825749	132.3544594	1.04E-06	7.16E-05
ENSG00000102383	ZDHHC15	-5.004804443	1.216937566	214.5518908	1.30E-07	3.31E-05
ENSG00000102554	KLF5	3.29383739	6.221569032	91.63376148	4.92E-06	0.000139914
ENSG00000103512	NOMO1	2.087019463	5.916262551	107.3331539	2.54E-06	0.000101771
ENSG00000105143	SLC1A6	-6.945160223	0.23711985	123.8769251	1.38E-06	7.91E-05
ENSG00000105486	LIG1	-2.772735251	5.389491221	141.6068755	7.82E-07	6.53E-05
ENSG00000105642	KCNN1	-5.516920513	1.250521083	98.56086855	3.63E-06	0.000120877
ENSG00000105939	ZC3HAV1	2.798377938	4.681575378	91.73596462	4.89E-06	0.000139914
ENSG00000105971	CAV2	5.704959017	5.275774046	155.8942464	5.18E-07	5.51E-05
ENSG00000105974	CAV1	7.319215265	7.264877925	113.428341	2.01E-06	9.06E-05
ENSG00000106003	LFNG	-3.817267588	5.763829114	232.101282	9.21E-08	2.94E-05
ENSG00000106483	SFRP4	6.099734419	4.16593402	94.15635438	4.39E-06	0.000133552
ENSG00000106688	SLC1A1	4.697573732	2.601581065	172.4798925	3.35E-07	4.46E-05
ENSG00000106992	AK1	3.897537206	5.660390352	93.63651136	4.49E-06	0.000135169
ENSG00000106993	CDC37L1	1.717077901	4.84318836	110.2476043	2.27E-06	9.75E-05
ENSG00000107738	VSIR	6.951209124	4.372659312	610.143844	1.28E-09	6.97E-06
ENSG00000107745	MICU1	1.315435766	6.317094611	98.32323758	3.67E-06	0.000121185
ENSG00000107819	SFXN3	2.658685702	4.984645826	91.0392924	5.05E-06	0.000141866
ENSG00000108405	P2RX1	5.832602322	2.611332086	94.52292496	4.32E-06	0.00013288
ENSG00000108639	SYNGR2	2.628083457	5.023743539	105.0124023	2.78E-06	0.000105963
ENSG00000108861	DUSP3	2.234192074	6.407594474	100.462503	3.35E-06	0.000117405
ENSG00000109079	TNFAIP1	1.707619504	6.096232948	99.26891374	3.52E-06	0.000119854
ENSG00000109685	NSD2	-1.941640013	7.280579816	115.8406133	1.84E-06	8.65E-05
ENSG00000109686	SH3D19	1.775238076	4.376046361	91.01251207	5.06E-06	0.000141866
ENSG00000110400	NECTIN1	-3.827052678	6.585345931	215.1201784	1.28E-07	3.31E-05
ENSG00000110987	BCL7A	-2.140995425	5.01401923	176.343268	3.04E-07	4.23E-05
ENSG00000111252	SH2B3	4.697974541	5.310516037	93.65409596	4.49E-06	0.000135169
ENSG00000111424	VDR	7.019744205	3.561235457	100.6566547	3.32E-06	0.000117201
ENSG00000111602	TIMELESS	-2.46815963	5.446282732	93.23150535	4.58E-06	0.00013586
ENSG00000111783	RFX4	-7.477445338	0.719515548	133.1027694	1.02E-06	7.11E-05
ENSG00000112208	BAG2	3.1458071	5.452070079	92.88275231	4.65E-06	0.000136209
ENSG00000112218	GPR63	-3.502342338	2.96377241	91.36946435	4.98E-06	0.000141311
ENSG00000112280	COL9A1	-7.039968713	2.054472608	178.2733703	2.90E-07	4.23E-05
ENSG00000112343	TRIM38	3.193001122	5.036137857	139.7506128	8.28E-07	6.57E-05
ENSG00000112378	PERP	4.179828489	4.868159577	102.1676063	3.12E-06	0.000113571
ENSG00000112541	PDE10A	-3.421546785	4.784675449	159.1882318	4.73E-07	5.24E-05
ENSG00000112773	TENT5A	3.080039264	4.976642995	113.626647	2.00E-06	9.06E-05
ENSG00000112877	CEP72	-2.582306423	2.727953979	129.9793884	1.13E-06	7.43E-05
ENSG00000113494	PRLR	-5.401024322	3.076665148	263.9986346	5.24E-08	2.18E-05
ENSG00000113578	FGF1	7.635073364	3.318541192	116.1940636	1.82E-06	8.65E-05
ENSG00000113732	ATP6V0E1	2.455162749	6.29894921	91.21893625	5.01E-06	0.000141404
ENSG00000114125	RNF7	1.540990854	6.199001039	112.4927094	2.08E-06	9.21E-05
ENSG00000114251	WNT5A	3.711398574	6.340866289	149.1065526	6.27E-07	6.18E-05
ENSG00000114541	FRMD4B	-2.831434914	4.213098153	109.1651923	2.36E-06	9.88E-05
ENSG00000114631	PODXL2	-2.230912133	4.531367182	134.5481245	9.74E-07	7.07E-05
ENSG00000114739	ACVR2B	-2.326588573	6.628119967	105.0015686	2.78E-06	0.000105963
ENSG00000114790	ARHGEF26	-3.928342724	1.879248142	113.3009727	2.02E-06	9.06E-05
ENSG00000115085	ZAP70	-4.025840407	2.129293274	102.6763685	3.06E-06	0.000112123
ENSG00000115361	ACADL	-8.898058081	4.173804316	113.7544264	1.99E-06	9.06E-05
ENSG00000115419	GLS	2.341902793	7.558897602	119.5853489	1.61E-06	8.43E-05
ENSG00000115592	PRKAG3	8.745594299	4.467543425	190.1621171	2.19E-07	4.07E-05
ENSG00000115687	PASK	-2.955141887	3.704778116	197.5970504	1.86E-07	3.97E-05
ENSG00000116016	EPAS1	7.657303257	5.714870299	177.0419587	2.99E-07	4.23E-05
ENSG00000116260	QSOX1	3.138630968	6.31253712	111.2760684	2.18E-06	9.58E-05
ENSG00000116852	KIF21B	-4.754052722	6.127594021	183.4404379	2.57E-07	4.23E-05
ENSG00000117069	ST6GALNAC5	-3.8442738	4.513077877	291.8559333	3.37E-08	1.85E-05
ENSG00000117226	GBP3	10.40195109	3.633922194	164.3215501	4.13E-07	4.93E-05
ENSG00000117298	ECE1	2.009924996	5.699938533	182.3218923	2.63E-07	4.23E-05
ENSG00000118194	TNNT2	3.679756456	9.878834461	105.9059835	2.68E-06	0.000105203
ENSG00000118298	CA14	-4.650351986	2.352520383	139.7103926	8.29E-07	6.57E-05
ENSG00000118473	SGIP1	3.238716302	2.742365937	118.5118254	1.67E-06	8.61E-05
ENSG00000118707	TGIF2	-1.699443676	5.610195919	126.6669943	1.26E-06	7.63E-05
ENSG00000118898	PPL	4.144840633	3.286915632	202.2349171	1.68E-07	3.91E-05
ENSG00000118985	ELL2	4.518153417	5.183347122	123.4009756	1.41E-06	7.91E-05
ENSG00000120647	CCDC77	-2.165368638	4.176744546	168.7233056	3.68E-07	4.72E-05
ENSG00000120696	KBTBD7	-1.722836055	4.194063491	92.12825515	4.81E-06	0.000139127
ENSG00000120708	TGFBI	7.19915669	9.579611312	117.3492572	1.74E-06	8.65E-05
ENSG00000120885	CLU	3.927593041	6.788927101	378.9475093	1.06E-08	1.25E-05
ENSG00000121988	ZRANB3	-1.97350969	4.549681921	118.0615524	1.70E-06	8.63E-05
ENSG00000122359	ANXA11	2.429536345	5.857952504	141.3054174	7.90E-07	6.53E-05
ENSG00000122641	INHBA	7.810417577	6.334544799	91.81930447	4.88E-06	0.000139914
ENSG00000122861	PLAU	5.596690108	7.296449979	97.48948956	3.80E-06	0.000123369
ENSG00000123091	RNF11	1.859009005	7.039438011	124.634793	1.35E-06	7.87E-05
ENSG00000123104	ITPR2	2.321969165	4.885054648	153.1513572	5.59E-07	5.77E-05
ENSG00000123240	OPTN	2.807079355	5.901217385	91.24646695	5.00E-06	0.000141404
ENSG00000123360	PDE1B	-8.706182692	1.925877824	124.5079141	1.35E-06	7.87E-05
ENSG00000124145	SDC4	3.298816748	5.819535718	117.6835202	1.72E-06	8.63E-05
ENSG00000124205	EDN3	-7.899397631	6.408229956	178.8394558	2.86E-07	4.23E-05
ENSG00000124570	SERPINB6	2.52654407	5.876160768	124.0060961	1.38E-06	7.91E-05
ENSG00000124762	CDKN1A	5.279468716	9.595270436	164.5861465	4.10E-07	4.93E-05
ENSG00000126016	AMOT	-3.121556972	6.762838243	100.740808	3.31E-06	0.000117201
ENSG00000126259	KIRREL2	-5.019325184	0.473726392	134.3036823	9.81E-07	7.08E-05
ENSG00000126458	RRAS	3.074397691	3.882970511	104.8144846	2.80E-06	0.000105963
ENSG00000127152	BCL11B	-7.469511974	4.180088053	334.4071234	1.85E-08	1.32E-05
ENSG00000127586	CHTF18	-3.427570559	4.357424439	203.3265887	1.64E-07	3.88E-05
ENSG00000128335	APOL2	3.219017665	4.831762908	137.4901762	8.88E-07	6.70E-05
ENSG00000128510	CPA4	6.685471094	5.059207061	119.4326569	1.62E-06	8.43E-05
ENSG00000129355	CDKN2D	2.366650577	2.481171643	114.2325386	1.95E-06	9.00E-05
ENSG00000130032	PRRG3	-10.19851729	3.379881756	241.5172258	7.74E-08	2.76E-05
ENSG00000130513	GDF15	4.659984823	2.894515324	166.9344546	3.86E-07	4.85E-05
ENSG00000130517	PGPEP1	2.938776938	5.479978902	117.0746611	1.76E-06	8.65E-05
ENSG00000130829	DUSP9	-6.132664593	1.873065013	134.144101	9.86E-07	7.08E-05
ENSG00000131080	EDA2R	2.717757995	5.031381557	132.5769889	1.04E-06	7.15E-05
ENSG00000132182	NUP210	-4.023230379	3.185222787	98.60283459	3.62E-06	0.000120877
ENSG00000132274	TRIM22	4.542883591	5.852192205	143.7770932	7.33E-07	6.53E-05
ENSG00000132386	SERPINF1	3.179538323	7.550200753	161.1555202	4.49E-07	5.13E-05
ENSG00000132429	POPDC3	4.059422103	3.237145858	141.4785451	7.86E-07	6.53E-05
ENSG00000132781	MUTYH	-1.887043689	3.472246059	91.76772844	4.89E-06	0.000139914
ENSG00000132824	SERINC3	2.175617216	6.903558264	109.488661	2.33E-06	9.87E-05
ENSG00000133083	DCLK1	4.685556925	8.027872189	91.06335556	5.05E-06	0.000141866
ENSG00000133110	POSTN	8.312550419	9.072427297	111.0528373	2.20E-06	9.59E-05
ENSG00000134121	CHL1	-7.555062398	1.957962448	176.3995136	3.04E-07	4.23E-05
ENSG00000134243	SORT1	2.528324439	7.106928574	104.0353251	2.89E-06	0.000107834
ENSG00000134569	LRP4	2.190870435	6.399391158	112.9018757	2.05E-06	9.13E-05
ENSG00000134954	ETS1	2.065576377	4.749561063	95.97402393	4.05E-06	0.00012669
ENSG00000135046	ANXA1	5.997511702	6.676302531	102.5655587	3.07E-06	0.000112331
ENSG00000135269	TES	2.181601305	5.155522679	143.7077151	7.35E-07	6.53E-05
ENSG00000135318	NT5E	10.14688269	6.580906237	321.1980872	2.21E-08	1.32E-05
ENSG00000135636	DYSF	4.099531302	7.165678192	128.879052	1.17E-06	7.53E-05
ENSG00000135677	GNS	1.737955539	7.507566398	119.3764514	1.62E-06	8.43E-05
ENSG00000135862	LAMC1	1.88813811	8.884923435	98.66467944	3.61E-06	0.000120877
ENSG00000136048	DRAM1	4.500200237	3.944983702	140.4102172	8.11E-07	6.57E-05
ENSG00000136052	SLC41A2	3.078089259	3.116585248	191.38386	2.13E-07	4.04E-05
ENSG00000136099	PCDH8	-7.845424738	1.072419665	178.2431934	2.91E-07	4.23E-05
ENSG00000136153	LMO7	5.393228287	8.779890012	180.0217562	2.78E-07	4.23E-05
ENSG00000136156	ITM2B	2.027164969	7.55464485	105.4020345	2.74E-06	0.000105963
ENSG00000136379	ABHD17C	1.718561087	3.681450145	90.96610086	5.07E-06	0.000141877
ENSG00000136531	SCN2A	3.855258996	2.837493274	142.3095749	7.66E-07	6.53E-05
ENSG00000136717	BIN1	3.233341553	8.721443025	104.899244	2.79E-06	0.000105963
ENSG00000136869	TLR4	9.236093251	3.292852402	115.7918469	1.84E-06	8.65E-05
ENSG00000137449	CPEB2	4.424794613	4.493266753	122.9820426	1.43E-06	7.96E-05
ENSG00000137501	SYTL2	4.19129821	6.791740919	121.7820717	1.49E-06	8.13E-05
ENSG00000137672	TRPC6	-5.823750711	1.989349438	123.5732172	1.40E-06	7.91E-05
ENSG00000137767	SQOR	6.104534951	2.357805539	98.94390068	3.57E-06	0.000120611
ENSG00000137962	ARHGAP29	3.08843828	5.830929509	107.8969834	2.48E-06	0.000100729
ENSG00000138061	CYP1B1	5.150695322	5.719262471	318.142081	2.30E-08	1.32E-05
ENSG00000138092	CENPO	-1.89195368	4.992777228	98.02395477	3.71E-06	0.000122107
ENSG00000138119	MYOF	3.121768724	8.329464551	124.5519382	1.35E-06	7.87E-05
ENSG00000138316	ADAMTS14	4.129103941	4.863535769	120.6883968	1.55E-06	8.32E-05
ENSG00000138346	DNA2	-2.022018055	4.558348641	99.4263718	3.50E-06	0.000119656
ENSG00000138434	ITPRID2	2.108665436	7.849833927	136.9008451	9.04E-07	6.70E-05
ENSG00000138439	FAM117B	-2.094463661	4.401946467	119.9805994	1.59E-06	8.43E-05
ENSG00000138448	ITGAV	2.651061543	7.729465297	97.2305749	3.84E-06	0.000123946
ENSG00000138639	ARHGAP24	2.646363489	4.63621968	198.1908712	1.83E-07	3.97E-05
ENSG00000138675	FGF5	6.723924992	3.786986689	107.6278592	2.51E-06	0.000100898
ENSG00000138696	BMPR1B	-3.485999113	4.510114825	161.7131906	4.42E-07	5.10E-05
ENSG00000138795	LEF1	-3.278712021	2.99183463	163.1901863	4.25E-07	4.99E-05
ENSG00000139219	COL2A1	-7.320361456	7.202993052	344.8804383	1.61E-08	1.32E-05
ENSG00000139278	GLIPR1	6.686719021	6.474072516	238.5386034	8.17E-08	2.78E-05
ENSG00000139289	PHLDA1	2.380122079	7.350300018	100.7560578	3.31E-06	0.000117201
ENSG00000139508	SLC46A3	2.705636553	3.106885718	91.84914279	4.87E-06	0.000139914
ENSG00000140416	TPM1	3.485840217	9.499008503	135.7227214	9.38E-07	6.88E-05
ENSG00000140470	ADAMTS17	-4.274831891	3.371579406	126.6921352	1.26E-06	7.63E-05
ENSG00000140945	CDH13	2.656631813	6.598025919	104.3432322	2.86E-06	0.000107087
ENSG00000141404	GNAL	-3.475030802	4.793988342	171.5323087	3.43E-07	4.52E-05
ENSG00000141441	GAREM1	-2.072380643	3.655757405	94.79111137	4.27E-06	0.000131615
ENSG00000141524	TMC6	3.22802431	3.397213847	98.54643865	3.63E-06	0.000120877
ENSG00000142449	FBN3	-8.132958247	4.783004949	339.1110765	1.74E-08	1.32E-05
ENSG00000142920	AZIN2	3.187430896	4.451463973	111.875144	2.13E-06	9.40E-05
ENSG00000143036	SLC44A3	2.329185197	2.985368717	104.4664363	2.84E-06	0.000107026
ENSG00000143061	IGSF3	-3.95054205	6.199081444	98.55073477	3.63E-06	0.000120877
ENSG00000143164	DCAF6	2.174985306	6.956029692	266.6539691	5.01E-08	2.18E-05
ENSG00000143473	KCNH1	6.26276231	2.023457901	177.5050494	2.96E-07	4.23E-05
ENSG00000143801	PSEN2	1.893053737	5.59696966	120.8360259	1.54E-06	8.31E-05
ENSG00000144746	ARL6IP5	1.685328467	6.784679756	95.35956439	4.16E-06	0.000129424
ENSG00000144810	COL8A1	8.101339188	6.762087332	130.0937725	1.12E-06	7.43E-05
ENSG00000145246	ATP10D	2.314231735	5.260258321	98.54551466	3.63E-06	0.000120877
ENSG00000145284	SCD5	-2.496426532	5.881619245	209.1659589	1.45E-07	3.58E-05
ENSG00000145375	SPATA5	-1.530451001	5.324123208	131.3328969	1.08E-06	7.23E-05
ENSG00000145390	USP53	1.77613676	5.130577645	101.2081393	3.25E-06	0.000116912
ENSG00000145391	SETD7	3.155135364	9.053156103	116.9925271	1.76E-06	8.65E-05
ENSG00000145623	OSMR	5.033009275	6.148926308	140.271172	8.15E-07	6.57E-05
ENSG00000145721	LIX1	-6.415420925	2.572651418	122.6676623	1.44E-06	8.01E-05
ENSG00000146263	MMS22L	-2.409799092	5.317542602	138.3190638	8.65E-07	6.70E-05
ENSG00000146416	AIG1	1.927778036	4.581424528	127.0033162	1.25E-06	7.63E-05
ENSG00000146648	EGFR	2.879571728	5.627478455	153.2415927	5.58E-07	5.77E-05
ENSG00000147145	LPAR4	-3.902013219	4.902904222	104.9072526	2.79E-06	0.000105963
ENSG00000147257	GPC3	-9.131183323	8.590747867	549.6882609	2.03E-09	6.97E-06
ENSG00000147883	CDKN2B	8.905474922	4.615228656	96.64814598	3.94E-06	0.000124909
ENSG00000148411	NACC2	2.386353333	4.978401351	115.4422544	1.87E-06	8.70E-05
ENSG00000148677	ANKRD1	6.607515874	8.216219092	264.5804622	5.19E-08	2.18E-05
ENSG00000148848	ADAM12	2.481167312	6.793580466	126.5943189	1.26E-06	7.63E-05
ENSG00000150938	CRIM1	3.980448779	6.449007834	143.7558344	7.34E-07	6.53E-05
ENSG00000150961	SEC24D	1.571834009	6.401915457	147.4320521	6.58E-07	6.36E-05
ENSG00000151090	THRB	3.986994499	1.233463876	151.6285552	5.84E-07	5.89E-05
ENSG00000151388	ADAMTS12	3.803342347	6.693312325	322.7457282	2.16E-08	1.32E-05
ENSG00000151491	EPS8	2.097874896	5.479139293	221.683937	1.13E-07	3.22E-05
ENSG00000151689	INPP1	2.405396348	3.226707823	94.21238914	4.38E-06	0.000133517
ENSG00000151702	FLI1	4.591569733	2.235597338	97.64171961	3.77E-06	0.000123369
ENSG00000151849	CENPJ	-2.23468534	5.36095129	123.4663739	1.40E-06	7.91E-05
ENSG00000151914	DST	2.650753788	10.36291814	94.29922576	4.36E-06	0.000133517
ENSG00000151917	BEND6	4.81738326	2.626903935	229.0571134	9.76E-08	2.97E-05
ENSG00000152270	PDE3B	-4.978877551	3.270456795	152.357286	5.72E-07	5.85E-05
ENSG00000152894	PTPRK	1.342464806	6.732826502	102.4401643	3.09E-06	0.000112609
ENSG00000152953	STK32B	3.510771795	1.649691549	108.3091228	2.44E-06	9.96E-05
ENSG00000153012	LGI2	-5.640978526	5.650936373	117.5166818	1.73E-06	8.63E-05
ENSG00000153071	DAB2	3.192646078	5.908484557	119.331665	1.62E-06	8.43E-05
ENSG00000153113	CAST	2.0208134	7.032614543	129.7274279	1.14E-06	7.43E-05
ENSG00000153246	PLA2R1	4.231760335	3.980509272	175.4776082	3.11E-07	4.25E-05
ENSG00000154188	ANGPT1	4.346698186	3.391290595	380.7482271	1.04E-08	1.25E-05
ENSG00000154556	SORBS2	3.844480857	5.749113364	322.8732706	2.16E-08	1.32E-05
ENSG00000154645	CHODL	-3.267650477	1.745371025	105.6645156	2.71E-06	0.000105626
ENSG00000154678	PDE1C	-4.376102191	7.332150477	230.822577	9.43E-08	2.94E-05
ENSG00000154783	FGD5	-8.289952564	2.280207608	176.47791	3.03E-07	4.23E-05
ENSG00000155011	DKK2	5.449057805	3.933355545	95.52995642	4.13E-06	0.00012887
ENSG00000156265	MAP3K7CL	6.363302139	6.819656738	96.67600426	3.93E-06	0.000124909
ENSG00000156531	PHF6	-1.668768352	6.37880351	107.6809489	2.50E-06	0.000100898
ENSG00000156804	FBXO32	5.324016359	6.158279733	100.8232737	3.30E-06	0.000117201
ENSG00000156876	SASS6	-1.916229691	3.662291993	93.08383344	4.61E-06	0.00013586
ENSG00000156925	ZIC3	-7.124510402	0.398434218	115.3833919	1.87E-06	8.70E-05
ENSG00000157036	EXOG	1.674803006	4.442525879	141.711103	7.80E-07	6.53E-05
ENSG00000157227	MMP14	2.694161048	8.038681176	127.3768075	1.23E-06	7.63E-05
ENSG00000157483	MYO1E	2.370727399	5.780634926	120.8418902	1.54E-06	8.31E-05
ENSG00000158186	MRAS	2.667346957	7.605713659	182.3300957	2.63E-07	4.23E-05
ENSG00000158555	GDPD5	3.238896182	4.199024851	133.3277278	1.01E-06	7.11E-05
ENSG00000158747	NBL1	2.922795041	4.001201072	94.28546115	4.37E-06	0.000133517
ENSG00000158813	EDA	-4.11481313	1.85117784	109.769042	2.31E-06	9.86E-05
ENSG00000158966	CACHD1	-2.419540701	5.196366768	137.032249	9.00E-07	6.70E-05
